,Accession,Geo_Location,s-gene_location,gene_length,protein_id,protein_length
371,MT429185,USA,[21508:25330](+),3822.0,QJQ04280.1,1273.0
372,MT429186,USA,[21508:25330](+),3822.0,QJQ04292.1,1273.0
373,MT429187,USA,[21508:25330](+),3822.0,QJQ04304.1,1273.0
374,MT429188,USA,[21508:25330](+),3822.0,QJQ04316.1,1273.0
375,MT429189,USA,[21508:25330](+),3822.0,QJQ04328.1,1273.0
376,MT429190,USA,[21508:25330](+),3822.0,QJQ04340.1,1273.0
377,MT429191,USA,[21508:25330](+),3822.0,QJQ04352.1,1273.0
378,MT432195,USA,[21562:25384](+),3822.0,QJQ26997.1,1273.0
380,MT422806,USA,[21562:25384](+),3822.0,QJP03551.1,1273.0
381,MT422807,USA,[21562:25384](+),3822.0,QJP03563.1,1273.0
384,MT215193,Hong Kong,[19630:23452](+),3822.0,QIT08256.1,1273.0
385,MT215194,Hong Kong,[21523:25345](+),3822.0,QIT08268.1,1273.0
386,MT215195,Hong Kong,[21523:25345](+),3822.0,QIT08280.1,1273.0
387,MT270814,Hong Kong,[21523:25345](+),3822.0,QIT08292.1,1273.0
388,MT270815,Hong Kong,[21523:25345](+),3822.0,QIT08304.1,1273.0
389,MT276600,Hong Kong,[21523:25345](+),3822.0,QIT07011.1,1273.0
390,MT418880,USA,[21558:25380](+),3822.0,QJI07186.1,1273.0
391,MT418881,USA,[21558:25380](+),3822.0,QJI07198.1,1273.0
392,MT418882,USA,[21551:25373](+),3822.0,QJI07210.1,1273.0
393,MT418883,USA,[21527:25349](+),3822.0,QJI07222.1,1273.0
394,MT418884,USA,[21552:25374](+),3822.0,QJI07234.1,1273.0
395,MT418885,USA,[21558:25380](+),3822.0,QJI07246.1,1273.0
396,MT418886,USA,[21525:25347](+),3822.0,QJI07258.1,1273.0
397,MT418887,USA,[21556:25378](+),3822.0,QJI07270.1,1273.0
398,MT418888,USA,[21560:25382](+),3822.0,QJI07282.1,1273.0
399,MT418889,USA,[21556:25378](+),3822.0,QJI07294.1,1273.0
400,MT418890,USA,[21547:25369](+),3822.0,QJI07306.1,1273.0
401,MT418891,USA,[21562:25384](+),3822.0,QJI07318.1,1273.0
402,MT418892,USA,[21555:25377](+),3822.0,QJI07330.1,1273.0
403,MT418893,USA,[21527:25349](+),3822.0,QJI07342.1,1273.0
404,MT418894,USA,[21527:25349](+),3822.0,QJI07354.1,1273.0
405,MT419810,Puerto Rico,[21456:25278](+),3822.0,QJI53859.1,1273.0
406,MT419811,Puerto Rico,[21456:25278](+),3822.0,QJI53871.1,1273.0
407,MT419812,Puerto Rico,[21456:25278](+),3822.0,QJI53883.1,1273.0
409,MT419814,Puerto Rico,[21456:25278](+),3822.0,QJI53907.1,1273.0
410,MT419815,Puerto Rico,[21456:25278](+),3822.0,QJI53919.1,1273.0
411,MT419816,Puerto Rico,[21456:25278](+),3822.0,QJI53931.1,1273.0
412,MT419817,Puerto Rico,[21456:25278](+),3822.0,QJI53943.1,1273.0
413,MT419818,Puerto Rico,[21456:25278](+),3822.0,QJI53955.1,1273.0
414,MT419819,Puerto Rico,[21456:25278](+),3822.0,QJI53967.1,1273.0
415,MT419820,Puerto Rico,[21456:25278](+),3822.0,QJI53979.1,1273.0
416,MT419821,Puerto Rico,[21456:25278](+),3822.0,QJI53991.1,1273.0
417,MT419822,Puerto Rico,[21456:25278](+),3822.0,QJI54003.1,1273.0
418,MT419827,USA,[21423:25245](+),3822.0,QJI54015.1,1273.0
419,MT419828,USA,[21210:25032](+),3822.0,QJI54026.1,1273.0
420,MT419829,USA,[21562:25384](+),3822.0,QJI54038.1,1273.0
421,MT419830,USA,[21562:25384](+),3822.0,QJI54050.1,1273.0
422,MT419831,USA,[21562:25384](+),3822.0,QJI54062.1,1273.0
423,MT419832,USA,[21527:25349](+),3822.0,QJI54074.1,1273.0
424,MT419833,USA,[21562:25384](+),3822.0,QJI54086.1,1273.0
425,MT419834,USA,[21423:25245](+),3822.0,QJI54098.1,1273.0
426,MT419835,USA,[21562:25384](+),3822.0,QJI54110.1,1273.0
427,MT419836,USA,[21433:25255](+),3822.0,QJI54122.1,1273.0
428,MT419837,USA,[21562:25384](+),3822.0,QJI54134.1,1273.0
429,MT419838,USA,[21455:25277](+),3822.0,QJI54146.1,1273.0
430,MT419839,USA,[21562:25384](+),3822.0,QJI54158.1,1273.0
431,MT419840,USA,[21219:25041](+),3822.0,QJI54170.1,1273.0
432,MT419841,USA,[21562:25384](+),3822.0,QJI54181.1,1273.0
433,MT419842,USA,[21562:25384](+),3822.0,QJI54193.1,1273.0
436,MT419845,USA,[21488:25310](+),3822.0,QJI54229.1,1273.0
437,MT419846,USA,[21562:25384](+),3822.0,QJI54241.1,1273.0
438,MT419847,USA,[21421:25243](+),3822.0,QJI54253.1,1273.0
439,MT419848,USA,[21386:25208](+),3822.0,QJI54265.1,1273.0
440,MT419849,USA,[21386:25208](+),3822.0,QJI54276.1,1273.0
441,MT419850,USA,[21510:25332](+),3822.0,QJI54288.1,1273.0
442,MT419851,USA,[21562:25384](+),3822.0,QJI54299.1,1273.0
443,MT419852,USA,[21062:24884](+),3822.0,QJI54311.1,1273.0
444,MT419853,USA,[21562:25384](+),3822.0,QJI54323.1,1273.0
445,MT419854,USA,[21528:25350](+),3822.0,QJI54335.1,1273.0
446,MT419855,USA,[21528:25350](+),3822.0,QJI54347.1,1273.0
447,MT419856,USA,[21527:25349](+),3822.0,QJI54359.1,1273.0
448,MT419857,USA,[21530:25352](+),3822.0,QJI54371.1,1273.0
449,MT419858,USA,[21527:25349](+),3822.0,QJI54383.1,1273.0
450,MT419859,USA,[21528:25350](+),3822.0,QJI54395.1,1273.0
451,MT419860,USA,[21527:25349](+),3822.0,QJI54407.1,1273.0
452,MT412134,China,[21538:25360](+),3822.0,QJF74879.1,1273.0
453,MT412135,USA,[21519:25341](+),3822.0,QJF74891.1,1273.0
454,MT412136,USA,[21523:25345](+),3822.0,QJF74903.1,1273.0
455,MT412137,USA,[21521:25343](+),3822.0,QJF74915.1,1273.0
456,MT412138,USA,[21524:25346](+),3822.0,QJF74927.1,1273.0
457,MT412139,USA,[21524:25346](+),3822.0,QJF74939.1,1273.0
458,MT412140,USA,[21515:25337](+),3822.0,QJF74951.1,1273.0
459,MT412141,USA,[21523:25345](+),3822.0,QJF74963.1,1273.0
460,MT412142,USA,[21523:25345](+),3822.0,QJF74975.1,1273.0
461,MT412143,USA,[21523:25345](+),3822.0,QJF74987.1,1273.0
462,MT412144,USA,[21524:25346](+),3822.0,QJF74999.1,1273.0
463,MT412145,USA,[21524:25346](+),3822.0,QJF75011.1,1273.0
464,MT412146,USA,[21523:25345](+),3822.0,QJF75023.1,1273.0
465,MT412147,USA,[21513:25335](+),3822.0,QJF75035.1,1273.0
466,MT412148,USA,[21523:25345](+),3822.0,QJF75047.1,1273.0
467,MT412149,USA,[21523:25345](+),3822.0,QJF75059.1,1273.0
468,MT412150,USA,[21520:25342](+),3822.0,QJF75071.1,1273.0
469,MT412151,USA,[21517:25339](+),3822.0,QJF75083.1,1273.0
470,MT412152,USA,[21515:25337](+),3822.0,QJF75095.1,1273.0
471,MT412153,USA,[21524:25346](+),3822.0,QJF75107.1,1273.0
472,MT412154,USA,[21515:25337](+),3822.0,QJF75119.1,1273.0
473,MT412155,USA,[21524:25346](+),3822.0,QJF75131.1,1273.0
474,MT412156,USA,[21517:25339](+),3822.0,QJF75143.1,1273.0
475,MT412157,USA,[21522:25344](+),3822.0,QJF75155.1,1273.0
476,MT412158,USA,[21524:25346](+),3822.0,QJF75167.1,1273.0
477,MT412159,USA,[21524:25346](+),3822.0,QJF75179.1,1273.0
478,MT412160,USA,[21515:25337](+),3822.0,QJF75191.1,1273.0
479,MT412161,USA,[21515:25337](+),3822.0,QJF75203.1,1273.0
480,MT412162,USA,[21521:25343](+),3822.0,QJF75215.1,1273.0
481,MT412163,USA,[21523:25345](+),3822.0,QJF75227.1,1273.0
482,MT412164,USA,[21522:25344](+),3822.0,QJF75239.1,1273.0
483,MT412165,USA,[21515:25337](+),3822.0,QJF75251.1,1273.0
484,MT412166,USA,[21515:25337](+),3822.0,QJF75263.1,1273.0
485,MT412167,USA,[21521:25343](+),3822.0,QJF75275.1,1273.0
486,MT412168,USA,[21543:25365](+),3822.0,QJF75287.1,1273.0
487,MT412169,USA,[21524:25346](+),3822.0,QJF75299.1,1273.0
488,MT412170,USA,[21550:25372](+),3822.0,QJF75311.1,1273.0
489,MT412171,USA,[21524:25346](+),3822.0,QJF75323.1,1273.0
490,MT412172,USA,[21524:25346](+),3822.0,QJF75335.1,1273.0
491,MT412173,USA,[21553:25375](+),3822.0,QJF75347.1,1273.0
492,MT412174,USA,[21524:25346](+),3822.0,QJF75359.1,1273.0
493,MT412175,USA,[21524:25346](+),3822.0,QJF75371.1,1273.0
494,MT412176,USA,[21551:25373](+),3822.0,QJF75383.1,1273.0
495,MT412177,USA,[21524:25346](+),3822.0,QJF75395.1,1273.0
496,MT412178,USA,[21534:25356](+),3822.0,QJF75407.1,1273.0
497,MT412179,USA,[21515:25337](+),3822.0,QJF75419.1,1273.0
498,MT412180,USA,[21518:25340](+),3822.0,QJF75431.1,1273.0
499,MT412181,USA,[21526:25348](+),3822.0,QJF75443.1,1273.0
500,MT412182,USA,[21523:25345](+),3822.0,QJF75455.1,1273.0
501,MT412183,USA,[21524:25346](+),3822.0,QJF75467.1,1273.0
502,MT412184,USA,[21533:25355](+),3822.0,QJF75479.1,1273.0
503,MT412185,USA,[21524:25346](+),3822.0,QJF75491.1,1273.0
504,MT412186,USA,[21524:25346](+),3822.0,QJF75503.1,1273.0
505,MT412187,USA,[21524:25346](+),3822.0,QJF75515.1,1273.0
506,MT412188,USA,[21524:25346](+),3822.0,QJF75527.1,1273.0
507,MT412189,USA,[21508:25330](+),3822.0,QJF75539.1,1273.0
508,MT412190,USA,[21523:25345](+),3822.0,QJF75551.1,1273.0
509,MT412191,USA,[21524:25346](+),3822.0,QJF75563.1,1273.0
510,MT412192,USA,[21524:25346](+),3822.0,QJF75575.1,1273.0
511,MT412193,USA,[21524:25346](+),3822.0,QJF75587.1,1273.0
512,MT412194,USA,[21508:25330](+),3822.0,QJF75599.1,1273.0
513,MT412195,USA,[21524:25346](+),3822.0,QJF75611.1,1273.0
514,MT412196,USA,[21508:25330](+),3822.0,QJF75623.1,1273.0
515,MT412197,USA,[21508:25330](+),3822.0,QJF75635.1,1273.0
516,MT412198,USA,[21508:25330](+),3822.0,QJF75647.1,1273.0
517,MT412199,USA,[21508:25330](+),3822.0,QJF75659.1,1273.0
518,MT412200,USA,[21523:25345](+),3822.0,QJF75671.1,1273.0
519,MT412201,USA,[21521:25343](+),3822.0,QJF75683.1,1273.0
520,MT412202,USA,[21521:25343](+),3822.0,QJF75695.1,1273.0
521,MT412203,USA,[21508:25330](+),3822.0,QJF75707.1,1273.0
522,MT412204,USA,[21523:25345](+),3822.0,QJF75719.1,1273.0
523,MT412205,USA,[21508:25330](+),3822.0,QJF75731.1,1273.0
524,MT412206,USA,[21508:25330](+),3822.0,QJF75743.1,1273.0
525,MT412207,USA,[21508:25330](+),3822.0,QJF75755.1,1273.0
526,MT412208,USA,[21515:25337](+),3822.0,QJF75767.1,1273.0
527,MT412209,USA,[21515:25337](+),3822.0,QJF75779.1,1273.0
528,MT412210,USA,[21508:25330](+),3822.0,QJF75791.1,1273.0
529,MT412211,USA,[21521:25343](+),3822.0,QJF75803.1,1273.0
530,MT412212,USA,[21515:25337](+),3822.0,QJF75815.1,1273.0
531,MT412213,USA,[21508:25330](+),3822.0,QJF75827.1,1273.0
532,MT412214,USA,[21515:25337](+),3822.0,QJF75839.1,1273.0
533,MT412215,USA,[21517:25339](+),3822.0,QJF75851.1,1273.0
534,MT412216,USA,[21523:25345](+),3822.0,QJF75863.1,1273.0
535,MT412217,USA,[21522:25344](+),3822.0,QJF75875.1,1273.0
536,MT412218,USA,[21522:25344](+),3822.0,QJF75887.1,1273.0
537,MT412219,USA,[21517:25339](+),3822.0,QJF75899.1,1273.0
538,MT412220,USA,[21508:25330](+),3822.0,QJF75911.1,1273.0
539,MT412221,USA,[21508:25330](+),3822.0,QJF75923.1,1273.0
540,MT412222,USA,[21508:25330](+),3822.0,QJF75935.1,1273.0
541,MT412223,USA,[21523:25345](+),3822.0,QJF75947.1,1273.0
542,MT412224,USA,[21508:25330](+),3822.0,QJF75959.1,1273.0
543,MT412225,USA,[21400:25222](+),3822.0,QJF75971.1,1273.0
544,MT412226,USA,[21561:25383](+),3822.0,QJF75983.1,1273.0
545,MT412227,USA,[21550:25372](+),3822.0,QJF75995.1,1273.0
546,MT412228,USA,[21531:25353](+),3822.0,QJF76007.1,1273.0
547,MT412229,USA,[21550:25372](+),3822.0,QJF76019.1,1273.0
548,MT412230,USA,[21522:25344](+),3822.0,QJF76031.1,1273.0
549,MT412231,USA,[21253:25075](+),3822.0,QJF76043.1,1273.0
550,MT412232,USA,[21273:25095](+),3822.0,QJF76055.1,1273.0
551,MT412233,USA,[21536:25358](+),3822.0,QJF76067.1,1273.0
552,MT412234,USA,[21532:25354](+),3822.0,QJF76079.1,1273.0
553,MT412235,USA,[21538:25360](+),3822.0,QJF76091.1,1273.0
554,MT412236,USA,[21530:25352](+),3822.0,QJF76103.1,1273.0
555,MT412237,USA,[21532:25354](+),3822.0,QJF76115.1,1273.0
556,MT412238,USA,[21540:25362](+),3822.0,QJF76127.1,1273.0
557,MT412239,USA,[21531:25353](+),3822.0,QJF76139.1,1273.0
558,MT412240,USA,[21548:25370](+),3822.0,QJF76151.1,1273.0
559,MT412241,USA,[21432:25254](+),3822.0,QJF76163.1,1273.0
560,MT412242,USA,[21533:25355](+),3822.0,QJF76175.1,1273.0
561,MT412243,USA,[21551:25373](+),3822.0,QJF76187.1,1273.0
562,MT412244,USA,[21531:25353](+),3822.0,QJF76199.1,1273.0
563,MT412245,USA,[21531:25353](+),3822.0,QJF76211.1,1273.0
564,MT412246,USA,[21513:25335](+),3822.0,QJF76223.1,1273.0
565,MT412247,USA,[21561:25383](+),3822.0,QJF76235.1,1273.0
566,MT412248,USA,[21532:25354](+),3822.0,QJF76247.1,1273.0
567,MT412249,USA,[21556:25378](+),3822.0,QJF76259.1,1273.0
568,MT412250,USA,[21551:25373](+),3822.0,QJF76271.1,1273.0
569,MT412251,USA,[21557:25379](+),3822.0,QJF76283.1,1273.0
570,MT412252,USA,[21532:25354](+),3822.0,QJF76295.1,1273.0
571,MT412253,USA,[21532:25354](+),3822.0,QJF76307.1,1273.0
572,MT412254,USA,[21531:25353](+),3822.0,QJF76319.1,1273.0
573,MT412255,USA,[21540:25362](+),3822.0,QJF76331.1,1273.0
574,MT412256,USA,[21532:25354](+),3822.0,QJF76343.1,1273.0
575,MT412257,USA,[21532:25354](+),3822.0,QJF76355.1,1273.0
576,MT412258,USA,[21556:25378](+),3822.0,QJF76367.1,1273.0
577,MT412259,USA,[21531:25353](+),3822.0,QJF76379.1,1273.0
578,MT412260,USA,[21347:25169](+),3822.0,QJF76391.1,1273.0
579,MT412261,USA,[21532:25354](+),3822.0,QJF76402.1,1273.0
580,MT412262,USA,[21488:25310](+),3822.0,QJF76414.1,1273.0
581,MT412263,USA,[21513:25335](+),3822.0,QJF76426.1,1273.0
582,MT412264,USA,[21510:25332](+),3822.0,QJF76438.1,1273.0
583,MT412265,USA,[21502:25324](+),3822.0,QJF76450.1,1273.0
584,MT412266,USA,[21488:25310](+),3822.0,QJF76462.1,1273.0
585,MT412267,USA,[21387:25209](+),3822.0,QJF76474.1,1273.0
586,MT412268,USA,[21533:25355](+),3822.0,QJF76486.1,1273.0
587,MT412269,USA,[21526:25348](+),3822.0,QJF76498.1,1273.0
588,MT412270,USA,[21531:25353](+),3822.0,QJF76510.1,1273.0
589,MT412271,USA,[21556:25378](+),3822.0,QJF76522.1,1273.0
590,MT412272,USA,[21512:25334](+),3822.0,QJF76534.1,1273.0
591,MT412273,USA,[21539:25361](+),3822.0,QJF76546.1,1273.0
592,MT412274,USA,[21532:25354](+),3822.0,QJF76558.1,1273.0
593,MT412275,USA,[21531:25353](+),3822.0,QJF76570.1,1273.0
594,MT412276,USA,[21533:25355](+),3822.0,QJF76582.1,1273.0
595,MT412277,USA,[21543:25365](+),3822.0,QJF76594.1,1273.0
596,MT412278,USA,[21562:25384](+),3822.0,QJF76606.1,1273.0
597,MT412279,USA,[21556:25378](+),3822.0,QJF76618.1,1273.0
598,MT412280,USA,[21553:25375](+),3822.0,QJF76630.1,1273.0
599,MT412281,USA,[21526:25348](+),3822.0,QJF76642.1,1273.0
600,MT412282,USA,[21483:25305](+),3822.0,QJF76654.1,1273.0
601,MT412283,USA,[21531:25353](+),3822.0,QJF76666.1,1273.0
602,MT412284,USA,[21532:25354](+),3822.0,QJF76678.1,1273.0
603,MT412285,USA,[21543:25365](+),3822.0,QJF76690.1,1273.0
604,MT412286,USA,[21531:25353](+),3822.0,QJF76702.1,1273.0
605,MT412287,USA,[21530:25352](+),3822.0,QJF76714.1,1273.0
606,MT412288,USA,[21546:25368](+),3822.0,QJF76726.1,1273.0
607,MT412289,USA,[21556:25378](+),3822.0,QJF76738.1,1273.0
609,MT412291,USA,[21527:25349](+),3822.0,QJF76762.1,1273.0
610,MT412292,USA,[21527:25349](+),3822.0,QJF76774.1,1273.0
611,MT412293,USA,[21554:25376](+),3822.0,QJF76786.1,1273.0
612,MT412294,USA,[21553:25375](+),3822.0,QJF76798.1,1273.0
613,MT412295,USA,[21546:25368](+),3822.0,QJF76810.1,1273.0
614,MT412296,USA,[21552:25374](+),3822.0,QJF76822.1,1273.0
615,MT412297,USA,[21554:25376](+),3822.0,QJF76834.1,1273.0
616,MT412298,USA,[21555:25377](+),3822.0,QJF76846.1,1273.0
617,MT412299,USA,[21533:25355](+),3822.0,QJF76858.1,1273.0
618,MT412300,USA,[21556:25378](+),3822.0,QJF76870.1,1273.0
619,MT412301,USA,[21537:25359](+),3822.0,QJF76882.1,1273.0
620,MT412302,USA,[21547:25369](+),3822.0,QJF76894.1,1273.0
621,MT412303,USA,[21551:25373](+),3822.0,QJF76906.1,1273.0
622,MT412304,USA,[21531:25353](+),3822.0,QJF76918.1,1273.0
623,MT412305,USA,[21562:25384](+),3822.0,QJF76930.1,1273.0
624,MT412306,USA,[21556:25378](+),3822.0,QJF76942.1,1273.0
625,MT412307,USA,[21556:25378](+),3822.0,QJF76954.1,1273.0
626,MT412308,USA,[21557:25379](+),3822.0,QJF76966.1,1273.0
627,MT412309,USA,[21559:25381](+),3822.0,QJF76978.1,1273.0
628,MT412310,USA,[21534:25356](+),3822.0,QJF76990.1,1273.0
629,MT412311,USA,[21531:25353](+),3822.0,QJF77002.1,1273.0
630,MT412312,USA,[21561:25383](+),3822.0,QJF77014.1,1273.0
631,MT412313,USA,[21527:25349](+),3822.0,QJF77026.1,1273.0
632,MT412314,USA,[21556:25378](+),3822.0,QJF77038.1,1273.0
633,MT412315,USA,[21520:25342](+),3822.0,QJF77050.1,1273.0
634,MT412316,USA,[21550:25372](+),3822.0,QJF77062.1,1273.0
635,MT412317,USA,[21552:25374](+),3822.0,QJF77074.1,1273.0
636,MT412318,USA,[21532:25354](+),3822.0,QJF77086.1,1273.0
637,MT412319,USA,[21560:25382](+),3822.0,QJF77098.1,1273.0
638,MT412320,USA,[21506:25328](+),3822.0,QJF77110.1,1273.0
639,MT412321,USA,[21560:25382](+),3822.0,QJF77122.1,1273.0
640,MT412322,USA,[21511:25333](+),3822.0,QJF77134.1,1273.0
641,MT412323,USA,[21401:25223](+),3822.0,QJF77146.1,1273.0
642,MT412324,USA,[21532:25354](+),3822.0,QJF77158.1,1273.0
643,MT412325,USA,[21537:25359](+),3822.0,QJF77170.1,1273.0
644,MT412326,USA,[21517:25339](+),3822.0,QJF77182.1,1273.0
645,MT412327,USA,[21561:25383](+),3822.0,QJF77194.1,1273.0
646,MT412328,USA,[21531:25353](+),3822.0,QJF77206.1,1273.0
647,MT412329,USA,[21555:25377](+),3822.0,QJF77218.1,1273.0
648,MT412330,USA,[21525:25347](+),3822.0,QJF77230.1,1273.0
649,MT412331,USA,[21561:25383](+),3822.0,QJF77242.1,1273.0
650,MT412332,USA,[21537:25359](+),3822.0,QJF77254.1,1273.0
651,MT412333,USA,[21525:25347](+),3822.0,QJF77266.1,1273.0
652,MT412334,USA,[21532:25354](+),3822.0,QJF77278.1,1273.0
653,MT412335,USA,[21488:25310](+),3822.0,QJF77290.1,1273.0
654,MT412336,USA,[21561:25383](+),3822.0,QJF77302.1,1273.0
655,MT412337,USA,[21532:25354](+),3822.0,QJF77314.1,1273.0
656,MT415320,India,[21560:25382](+),3822.0,QJF77846.1,1273.0
657,MT415321,India,[21562:25384](+),3822.0,QJF77858.1,1273.0
658,MT415322,India,[21551:25373](+),3822.0,QJF77870.1,1273.0
659,MT415323,India,[21550:25372](+),3822.0,QJF77882.1,1273.0
660,MT415366,China,[0:3822](+),3822.0,QJG65947.1,1273.0
661,MT415367,China,[0:3822](+),3822.0,QJG65948.1,1273.0
662,MT415368,China,[0:3822](+),3822.0,QJG65949.1,1273.0
663,MT415369,China,[0:3822](+),3822.0,QJG65950.1,1273.0
664,MT415370,China,[0:3822](+),3822.0,QJG65951.1,1273.0
665,MT415371,China,[0:3822](+),3822.0,QJG65952.1,1273.0
666,MT415372,China,[0:3822](+),3822.0,QJG65953.1,1273.0
667,MT415373,China,[0:3822](+),3822.0,QJG65954.1,1273.0
668,MT415374,China,[0:3822](+),3822.0,QJG65955.1,1273.0
669,MT415375,China,[0:3822](+),3822.0,QJG65956.1,1273.0
670,MT415376,China,[0:3822](+),3822.0,QJG65957.1,1273.0
671,MT415377,China,[0:3822](+),3822.0,QJG65958.1,1273.0
686,MT415894,USA,[21525:25347](+),3822.0,QJG65700.1,1273.0
687,MT415895,USA,[21526:25348](+),3822.0,QJG65712.1,1273.0
688,MT415896,USA,[21557:25379](+),3822.0,QJG65724.1,1273.0
689,MT415897,USA,[21558:25380](+),3822.0,QJG65736.1,1273.0
690,MT415898,USA,[21559:25381](+),3822.0,QJG65748.1,1273.0
691,MT415899,USA,[21556:25378](+),3822.0,QJG65760.1,1273.0
692,MT415900,USA,[21558:25380](+),3822.0,QJG65772.1,1273.0
693,MT415901,USA,[21524:25346](+),3822.0,QJG65784.1,1273.0
694,MT415902,USA,[21546:25368](+),3822.0,QJG65796.1,1273.0
695,MT415903,USA,[21562:25384](+),3822.0,QJG65808.1,1273.0
696,MT415904,USA,[21560:25382](+),3822.0,QJG65820.1,1273.0
697,MT415905,USA,[21554:25376](+),3822.0,QJG65832.1,1273.0
698,MT415906,USA,[21562:25384](+),3822.0,QJG65844.1,1273.0
699,MT415907,USA,[21559:25381](+),3822.0,QJG65856.1,1273.0
700,MT415908,USA,[21540:25362](+),3822.0,QJG65868.1,1273.0
701,MT415909,USA,[21524:25346](+),3822.0,QJG65880.1,1273.0
702,MT415910,USA,[21550:25372](+),3822.0,QJG65892.1,1273.0
703,MT415911,USA,[21552:25374](+),3822.0,QJG65904.1,1273.0
704,MT415912,USA,[21552:25374](+),3822.0,QJG65916.1,1273.0
705,MT394528,USA,[21555:25377](+),3822.0,QJF11947.1,1273.0
706,MT394529,USA,[21551:25373](+),3822.0,QJF11959.1,1273.0
707,MT394530,USA,[21558:25380](+),3822.0,QJF11971.1,1273.0
708,MT394531,USA,[21559:25381](+),3822.0,QJF11983.1,1273.0
709,MT394864,Germany,[21508:25330](+),3822.0,QJF11935.1,1273.0
710,MT396241,China,[21559:25381](+),3822.0,QJF11896.1,1273.0
711,MT396242,India,[21537:25359](+),3822.0,QJF11812.1,1273.0
712,MT396243,India,[21535:25357](+),3822.0,QJF11824.1,1273.0
713,MT396244,India,[21532:25354](+),3822.0,QJF11836.1,1273.0
714,MT396245,India,[21532:25354](+),3822.0,QJF11848.1,1273.0
715,MT396246,India,[21532:25354](+),3822.0,QJF11860.1,1273.0
716,MT396247,India,[21532:25354](+),3822.0,QJF11872.1,1273.0
717,MT396248,India,[21532:25354](+),3822.0,QJF11884.2,1273.0
718,MT396266,Netherlands,[21552:25374](+),3822.0,QJF11995.1,1273.0
721,MT380728,USA,[21562:25384](+),3822.0,QJE37815.1,1273.0
722,MT380729,USA,[21562:25384](+),3822.0,QJE37827.1,1273.0
723,MT380730,USA,[21562:25384](+),3822.0,QJE37839.1,1273.0
724,MT380731,USA,[21562:25384](+),3822.0,QJE37851.1,1273.0
725,MT380732,USA,[21562:25384](+),3822.0,QJE37863.1,1273.0
726,MT380733,USA,[21562:25384](+),3822.0,QJE37875.1,1273.0
727,MT380734,USA,[21562:25384](+),3822.0,QJE37887.1,1273.0
728,MT385414,USA,[21562:25384](+),3822.0,QJE38210.1,1273.0
729,MT385415,USA,[21562:25384](+),3822.0,QJE38222.1,1273.0
730,MT385416,USA,[21562:25384](+),3822.0,QJE38234.1,1273.0
731,MT385417,USA,[21562:25384](+),3822.0,QJE38246.1,1273.0
732,MT385418,USA,[21561:25383](+),3822.0,QJE38258.1,1273.0
733,MT385419,USA,[21561:25383](+),3822.0,QJE38270.1,1273.0
734,MT385420,USA,[21561:25383](+),3822.0,QJE38282.1,1273.0
735,MT385421,USA,[21560:25382](+),3822.0,QJE38294.1,1273.0
736,MT385422,USA,[21560:25382](+),3822.0,QJE38306.1,1273.0
737,MT385423,USA,[21559:25381](+),3822.0,QJE38318.1,1273.0
738,MT385424,USA,[21559:25381](+),3822.0,QJE38330.1,1273.0
739,MT385425,USA,[21558:25380](+),3822.0,QJE38342.1,1273.0
740,MT385426,USA,[21558:25380](+),3822.0,QJE38354.1,1273.0
741,MT385427,USA,[21558:25380](+),3822.0,QJE38366.1,1273.0
742,MT385428,USA,[21556:25378](+),3822.0,QJE38378.1,1273.0
743,MT385429,USA,[21554:25376](+),3822.0,QJE38390.1,1273.0
744,MT385430,USA,[21553:25375](+),3822.0,QJE38402.1,1273.0
745,MT385431,USA,[21551:25373](+),3822.0,QJE38414.1,1273.0
746,MT385432,USA,[21551:25373](+),3822.0,QJE38426.1,1273.0
747,MT385433,USA,[21551:25373](+),3822.0,QJE38438.1,1273.0
748,MT385434,USA,[21552:25374](+),3822.0,QJE38450.1,1273.0
749,MT385435,USA,[21551:25373](+),3822.0,QJE38462.1,1273.0
750,MT385436,USA,[21550:25372](+),3822.0,QJE38474.1,1273.0
751,MT385437,USA,[21550:25372](+),3822.0,QJE38486.1,1273.0
752,MT385438,USA,[21550:25372](+),3822.0,QJE38498.1,1273.0
753,MT385439,USA,[21560:25382](+),3822.0,QJE38510.1,1273.0
754,MT385440,USA,[21551:25373](+),3822.0,QJE38522.1,1273.0
755,MT385441,USA,[21545:25367](+),3822.0,QJE38534.1,1273.0
756,MT385442,USA,[21562:25384](+),3822.0,QJE38546.1,1273.0
757,MT385443,USA,[21552:25374](+),3822.0,QJE38558.1,1273.0
758,MT385444,USA,[21562:25384](+),3822.0,QJE38570.1,1273.0
759,MT385445,USA,[21561:25383](+),3822.0,QJE38582.1,1273.0
760,MT385446,USA,[21561:25383](+),3822.0,QJE38594.1,1273.0
761,MT385447,USA,[21560:25382](+),3822.0,QJE38606.1,1273.0
762,MT385448,USA,[21559:25381](+),3822.0,QJE38618.1,1273.0
763,MT385449,USA,[21558:25380](+),3822.0,QJE38630.1,1273.0
764,MT385450,USA,[21557:25379](+),3822.0,QJE38642.1,1273.0
765,MT385451,USA,[21556:25378](+),3822.0,QJE38654.1,1273.0
766,MT385452,USA,[21555:25377](+),3822.0,QJE38666.1,1273.0
767,MT385453,USA,[21550:25372](+),3822.0,QJE38678.1,1273.0
768,MT385454,USA,[21551:25373](+),3822.0,QJE38690.1,1273.0
