,Metabolit,Part,Molecular Formula,Molecular Weight,CID Kanaya,CID Pubchem,Canonical SMILES,Referensi  Antivirus,Referensi  Antimalaria/Antiplasmodium,Referensi  Treatment Meningitis,enumerator,species,CID PubChem,Referensi,Akar,Batang,Daun,Bunga,Buah,Referensi kandungan,Referensi Kandungan,Biji,Essential oil,Cabang,sinonim,Referensi 1,Referensi 2,referensi 3 (part),Sinonim,Referensi 1 (Metabolite),Referensi 2 ,Referensi 3,Referensi 1 (metabolit),"Referensi 2 (3D, Smiles)"
462,Citral,,C10H16O,152.12011513,C00035822,,CC(=CCCC(=CC=O)C)C,,,,Adnan (MA),1111. Alstonia scholaris,638011,"http://www.knapsackfamily.com/knapsack_core/information.php?word=C00035822, https://pubchem.ncbi.nlm.nih.gov/compound/Citral",,,,,,,,,,,,,,,,,,,,
463,Echitamidine,,C20H24N2O3,340.17869265,C00041510,,CC(C1CN2CCC34C2CC1C(=C3NC5=CC=CC=C45)C(=O)OC)O,,,,Adnan (MA),1111. Alstonia scholaris,10991442,"http://www.knapsackfamily.com/knapsack_core/information.php?word=C00041510, https://pubchem.ncbi.nlm.nih.gov/compound/Echitamidine",,,,,,,,,,,,,,,,,,,,
464,Akuammicine N-oxide,,C20H22N2O3,338.16304258,C00043258,,,,,,Adnan (MA),1111. Alstonia scholaris,,http://www.knapsackfamily.com/knapsack_core/information.php?word=C00043258,,,,,,,,,,,,,,,,,,,,
465,Akuammiginone,,C21H22N2O4,366.15795721,C00043259,,CC=C1C[N+]2(CCC34C5=CC=CC=C5NC36C2C(=O)C1C4(CO6)C(=O)O)C,,,,Adnan (MA),1111. Alstonia scholaris,101352946,"http://www.knapsackfamily.com/knapsack_core/information.php?word=C00043259, https://pubchem.ncbi.nlm.nih.gov/compound/Akuammiginone",,,,,,,,,,,,,,,,,,,,
466,Echitamidine N-oxide,,C20H24N2O4,356.17360727,C00043476,,,,,,Adnan (MA),1111. Alstonia scholaris,,http://www.knapsackfamily.com/knapsack_core/information.php?word=C00043476,,,,,,,,,,,,,,,,,,,,
467,Echitamidine-N-oxide 19-O-beta-D-glucopyranoside,,C26H34N2O9,518.2264307,C00043477,,,,,,Adnan (MA),1111. Alstonia scholaris,,http://www.knapsackfamily.com/knapsack_core/information.php?word=C00043477,,,,,,,,,,,,,,,,,,,,
468,Echitaminic acid,,C21H26N2O4,370.18925733,C00043478,,,,,,Adnan (MA),1111. Alstonia scholaris,,http://www.knapsackfamily.com/knapsack_core/information.php?word=C00043478,,,,,,,,,,,,,,,,,,,,
469,Nb-Demethylalstogustine N-oxide,,C20H24N2O4,356.17360727,C00043754,,,,,,Adnan (MA),1111. Alstonia scholaris,,http://www.knapsackfamily.com/knapsack_core/information.php?word=C00043754,,,,,,,,,,,,,,,,,,,,
470,Picraline,,C23H26N2O5,410.18417196,C00048064,,CC=C1CN2C3CC1C(C45C3(NC6=CC=CC=C64)OC2C5)(COC(=O)C)C(=O)OC,,,,Adnan (MA),1111. Alstonia scholaris,131636670 ,"http://www.knapsackfamily.com/knapsack_core/information.php?word=C00048064, https://pubchem.ncbi.nlm.nih.gov/compound/Picraline",,,,,,,,,,,,,,,,,,,,
471,Alstonic acid A,,C30H48O3,456.3603454,C00048316,,CC(C)C1CCC2C1(CCC3(C2(CCC4=C3CCC(C4(C)CC(=O)O)C(C)(C)C=O)C)C)C,,,,Adnan (MA),1111. Alstonia scholaris,91895416 ,"http://www.knapsackfamily.com/knapsack_core/information.php?word=C00048316, https://pubchem.ncbi.nlm.nih.gov/compound/Alstonic-acid-A",,,,,,,,,,,,,,,,,,,,
472,Alstonic acid B,,C30H46O3,454.34469533,C00048317,,CC(C)C1CCC2C1(CCC3(C2(CCC45C3=CCC(C4(C)CC(=O)O)C(C5=O)(C)C)C)C)C,,,,Adnan (MA),1111. Alstonia scholaris,91895417 ,"http://www.knapsackfamily.com/knapsack_core/information.php?word=C00048317, https://pubchem.ncbi.nlm.nih.gov/compound/91895417",,,,,,,,,,,,,,,,,,,,
473,Isogentialutine,,C9H11NO,149.08406398,C00050934,,,,,,Adnan (MA),1111. Alstonia scholaris,,"http://www.knapsackfamily.com/knapsack_core/information.php?word=C00050934, ",,,,,,,,,,,,,,,,,,,,
474,"4,21-Dehydrogeissoschizine",,C21H23N2O3+,351.17086762,C00051782,,CC=C1C=[N+]2CCC3=C(C2CC1C(=CO)C(=O)OC)NC4=CC=CC=C34,,,,Adnan (MA),1111. Alstonia scholaris,5280619,"http://www.knapsackfamily.com/knapsack_core/information.php?word=C00051782, https://pubchem.ncbi.nlm.nih.gov/compound/4_21-Dehydrogeissoschizine",,,,,,,,,,,,,,,,,,,,
475,Preaquamycin,,C21H24N2O3,352.17869265,C00051792,,,,,,Adnan (MA),1111. Alstonia scholaris,,http://www.knapsackfamily.com/knapsack_core/information.php?word=C00051792,,,,,,,,,,,,,,,,,,,,
476,(E)-Geissoschizine,,C21H24N2O3,352.17869265,C00051968,,,,,,Adnan (MA),1111. Alstonia scholaris,,"http://www.knapsackfamily.com/knapsack_core/information.php?word=C00051968, https://www.ncbi.nlm.nih.gov/pccompound/?term=Geissoschizine",,,,,,,,,,,,,,,,,,,,
477,(-)-Olivil,,C20H24O7,376.15220312,C00000682,,COC1=C(C=CC(=C1)CC2(COC(C2CO)C3=CC(=C(C=C3)O)OC)O)O,,,,Adnan (MA),1141. Cerbera manghas,5273570 ,"http://www.knapsackfamily.com/knapsack_core/information.php?word=C00000682, https://pubchem.ncbi.nlm.nih.gov/compound/Olivil",,,,,,,,,,,,,,,,,,,,
478,17beta-Neriifolin,,C30H46O8,534.31926845,C00003632,,CC1C(C(C(C(O1)OC2CCC3(C(C2)CCC4C3CCC5(C4(CCC5C6=CC(=O)OC6)O)C)C)O)OC)O,,,,Adnan (MA),1141. Cerbera manghas,441867 ,"http://www.knapsackfamily.com/knapsack_core/information.php?word=C00003632, https://pubchem.ncbi.nlm.nih.gov/compound/Neriifolin",,,,,,,,,,,,,,,,,,,,
479,Clitorin,,C33H40O19,740.2163791,C00005219,,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC=C(C=C5)O)OC6C(C(C(C(O6)C)O)O)O)O)O)O)O)O,,,,Adnan (MA),1141. Cerbera manghas,11592917,"http://www.knapsackfamily.com/knapsack_core/information.php?word=C00005219, https://pubchem.ncbi.nlm.nih.gov/compound/Clitorin",,,,,,,,,,,,,,,,,,,,
480,Manghaslin,,C33H40O20,756.21129372,C00005456,,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)O)OC6C(C(C(C(O6)C)O)O)O)O)O)O)O)O,,,,Adnan (MA),1141. Cerbera manghas,14299117,"http://www.knapsackfamily.com/knapsack_core/information.php?word=C00005456, https://pubchem.ncbi.nlm.nih.gov/compound/Manghaslin",,,,,,,,,,,,,,,,,,,,
481,(+)-Cycloolivil,,C20H24O7,376.15220312,C00007206,,COC1=C(C=C2C(C(C(CC2=C1)(CO)O)CO)C3=CC(=C(C=C3)O)OC)O,,,,Adnan (MA),1141. Cerbera manghas,5316262,"http://www.knapsackfamily.com/knapsack_core/information.php?word=C00007206, https://pubchem.ncbi.nlm.nih.gov/compound/Isoolivil",,,,,,,,,,,,,,,,,,,,
482,Cerberic acid,,C11H8O5,220.03717337,C00010525,,COC(=O)C1=COC=C2C1=CC=C2C(=O)O,,,,Adnan (MA),1141. Cerbera manghas,71439415 ,"http://www.knapsackfamily.com/knapsack_core/information.php?word=C00010525, https://pubchem.ncbi.nlm.nih.gov/compound/Cerberic-acid",,,,,,,,,,,,,,,,,,,,
483,Cerberinic acid,,C10H6O4,190.02660868,C00010526,,C1=C(C2=COC=C(C2=C1)C(=O)O)C=O,,,,Adnan (MA),1141. Cerbera manghas,71401376,"http://www.knapsackfamily.com/knapsack_core/information.php?word=C00010526, https://pubchem.ncbi.nlm.nih.gov/compound/7-Formylcyclopenta_c_pyran-4-carboxylic-acid",,,,,,,,,,,,,,,,,,,,
484,Cerbinal,,C11H8O4,204.04225874,C00010527,,COC(=O)C1=COC=C2C1=CC=C2C=O,,,,Adnan (MA),1141. Cerbera manghas,13786166 ,"http://www.knapsackfamily.com/knapsack_core/information.php?word=C00010527, https://pubchem.ncbi.nlm.nih.gov/compound/Cerbinal",,,,,,,,,,,,,,,,,,,,
485,2'-O-Acetylcerleaside A,,C32H46O9,574.31418307,C00031547,,,,,,Adnan (MA),1141. Cerbera manghas,,http://www.knapsackfamily.com/knapsack_core/information.php?word=C00031547,,,,,,,,,,,,,,,,,,,,
486,Cerberin,,C32H48O9,576.32983313,C00031660,,CC1C(C(C(C(O1)OC2CCC3(C(C2)CCC4C3CCC5(C4(CCC5C6=CC(=O)OC6)O)C)C)OC(=O)C)OC)O,,,,Adnan (MA),1141. Cerbera manghas,10031063,"http://www.knapsackfamily.com/knapsack_core/information.php?word=C00031660, https://pubchem.ncbi.nlm.nih.gov/compound/Cerberin",,,,,,,,,,,,,,,,,,,,
487,Deacetyltanghinin,,C30H44O9,548.298533,C00031724,,CC1C(C(C(C(O1)OC2CCC3(C4CCC5(C(CCC5(C46C(O6)CC3C2)O)C7=CC(=O)OC7)C)C)O)OC)O,,,,Adnan (MA),1141. Cerbera manghas,21637810,"http://www.knapsackfamily.com/knapsack_core/information.php?word=C00031724, https://pubchem.ncbi.nlm.nih.gov/compound/Deacetyltanghinin",,,,,,,,,,,,,,,,,,,,
488,Tanghinin,,C32H46O10,590.30909769,C00032285,,CC1C(C(C(C(O1)OC2CCC3(C4CCC5(C(CCC5(C46C(O6)CC3C2)O)C7=CC(=O)OC7)C)C)OC(=O)C)OC)O,,,,Adnan (MA),1141. Cerbera manghas,20055044 ,"http://www.knapsackfamily.com/knapsack_core/information.php?word=C00032285, https://pubchem.ncbi.nlm.nih.gov/compound/Tanghinin",,,,,,,,,,,,,,,,,,,,
489,warangalone,bark,C25H24O5,404.5 ,,,CC(=CCC1=C2C(=C(C3=C1OC=C(C3=O)C4=CC=C(C=C4)O)O)C=CC(O2)(C)C)C,,,,Adnan (MA),1148. Erythrina variegata,5379679 ,"https://jurnal.ugm.ac.id/ijc/article/view/21547, https://pubchem.ncbi.nlm.nih.gov/compound/Warangalone",,,,,,,,,,,,,,,,,,,,
490,β-Amyrin,leaves,C30H50O,426.7 ,,,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1)C)C)C,,,,Adnan (MA),1144. Dyera costulata,73145,"https://www.researchgate.net/publication/26483177_Chemical_constituents_and_antioxidative_activity_of_the_extract_from_Dyera_costulata_leaves, https://pubchem.ncbi.nlm.nih.gov/compound/beta-Amyrin",,,,,,,,,,,,,,,,,,,,
491,rhamnazin,leaves,C17H14O7 ,330.29 ,,,COC1=CC(=C2C(=C1)OC(=C(C2=O)O)C3=CC(=C(C=C3)O)OC)O,,,,Adnan (MA),1144. Dyera costulata,5320945 ,"https://www.researchgate.net/publication/26483177_Chemical_constituents_and_antioxidative_activity_of_the_extract_from_Dyera_costulata_leaves, https://pubchem.ncbi.nlm.nih.gov/compound/Rhamnazin",,,,,,,,,,,,,,,,,,,,
492,quercetin-3-O-α-L-rhamnopyranoside,leaves,C21H20O11,448.4,,,CC1C(C(C(C(O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC(=C(C=C4)O)O)O)O)O,,,,Adnan (MA),1144. Dyera costulata,40486293,"https://www.researchgate.net/publication/26483177_Chemical_constituents_and_antioxidative_activity_of_the_extract_from_Dyera_costulata_leaves, https://pubchem.ncbi.nlm.nih.gov/compound/Quercetin-3-O-alpha-L-rhamnopyranoside",,,,,,,,,,,,,,,,,,,,
493,Ochrolifuanine A,,C29H34N4,438.27834711,C00001754,,CCC1CN2CCC3=C(C2CC1CC4C5=C(CCN4)C6=CC=CC=C6N5)NC7=CC=CC=C37,,,,Adnan (MA),1144. Dyera costulata,215338 ,"http://www.knapsackfamily.com/knapsack_core/information.php?word=C00001754, https://pubchem.ncbi.nlm.nih.gov/compound/Ochrolifuanine-A",,,,,,,,,,,,,,,,,,,,
494,(+)-Lirioresinol B,,C22H26O8,418.16276781,C00002631,,,,,,Adnan (MA),1180. Plumeria rubra,,http://www.knapsackfamily.com/knapsack_core/information.php?word=C00002631,,,,,,,,,,,,,,,,,,,,
495,Isoplumericin,,C15H14O6,290.07903818,C00003087,,CC=C1C2C3(C=CC4C3C(O2)OC=C4C(=O)OC)OC1=O,,,,Adnan (MA),1180. Plumeria rubra,5281543 ,"http://www.knapsackfamily.com/knapsack_core/information.php?word=C00003087, https://pubchem.ncbi.nlm.nih.gov/compound/Isoplumericin",,,,,,,,,,,,,,,,,,,,
496,Plumericin,,C15H14O6,290.07903818,C00003095,,CC=C1C2C3(C=CC4C3C(O2)OC=C4C(=O)OC)OC1=O,,,,Adnan (MA),1180. Plumeria rubra,5281545,"http://www.knapsackfamily.com/knapsack_core/information.php?word=C00003095, https://pubchem.ncbi.nlm.nih.gov/compound/Plumericin",,,,,,,,,,,,,,,,,,,,
497,Plumieride,,C21H26O12,470.1424263,C00003096,,CC(C1=CC2(C=CC3C2C(OC=C3C(=O)OC)OC4C(C(C(C(O4)CO)O)O)O)OC1=O)O,,,,Adnan (MA),1180. Plumeria rubra,72319,"http://www.knapsackfamily.com/knapsack_core/information.php?word=C00003096, https://pubchem.ncbi.nlm.nih.gov/compound/Plumieride",,,,,,,,,,,,,,,,,,,,
498,Plumerubroside,,C24H30O12,510.17372642,C00008863,,COC1=CC2=C(CC(C(O2)C3=CC(=C(C(=C3)OC)O)OC)O)C(=C1)OC4C(C(C(C(O4)CO)O)O)O,,,,Adnan (MA),1180. Plumeria rubra,44257126 ,"http://www.knapsackfamily.com/knapsack_core/information.php?word=C00008863, https://pubchem.ncbi.nlm.nih.gov/compound/Plumerubroside",,,,,,,,,,,,,,,,,,,,
499,beta-Dihydroplumericin,,C15H16O6,292.09468824,C00010737,,,,,,Adnan (MA),1180. Plumeria rubra,,http://www.knapsackfamily.com/knapsack_core/information.php?word=C00010737,,,,,,,,,,,,,,,,,,,,
500,3-O-caffeyolquinic acid,flower,,,,,,,,,Adnan (MA),1180. Plumeria rubra,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6017381/,,,,,,,,,,,,,,,,,,,,
501,5-caffeoquinic acid,flower,C16H18O9 ,354.31 ,,,C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O,,,,Adnan (MA),1180. Plumeria rubra,5282098 ,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6017381/, https://pubchem.ncbi.nlm.nih.gov/compound/trans-5-O-Caffeoylquinic-acid",,,,,,,,,,,,,,,,,,,,
502,"1,3-dicaffeoquinic acid",flower,C25H24O12,516.4 ,,,C1C(C(C(CC1(C(=O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)OC(=O)C=CC3=CC(=C(C=C3)O)O)O)O,,,,Adnan (MA),1180. Plumeria rubra,6474640,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6017381/, https://pubchem.ncbi.nlm.nih.gov/compound/1_3-Dicaffeoylquinic-acid",,,,,,,,,,,,,,,,,,,,
503,chlorogenic acid,flower,C16H18O9,354.31 ,,,C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O,,,,Adnan (MA),1180. Plumeria rubra,1794427,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6017381/, https://pubchem.ncbi.nlm.nih.gov/compound/Chlorogenic-acid",,,,,,,,,,,,,,,,,,,,
504,citric acid,flower,C6H8O7 ,192.12 ,,,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,,,,Adnan (MA),1180. Plumeria rubra,311 ,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6017381/, https://pubchem.ncbi.nlm.nih.gov/compound/Citric-acid",,,,,,,,,,,,,,,,,,,,
505,"3,3-di-O-methylellagic acid",flower,C16H10O8,330.24 ,,,COC1=C(C=C2C3=C1OC(=O)C4=CC(=C(C(=C43)OC2=O)OC)O)O,,,,Adnan (MA),1180. Plumeria rubra,5488919,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6017381/, https://pubchem.ncbi.nlm.nih.gov/compound/3_3_-Di-O-methylellagic-acid",,,,,,,,,,,,,,,,,,,,
506,kaempferol-3-O-glucoside,flower,C21H20O11,448.4 ,,,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O,,,,Adnan (MA),1180. Plumeria rubra,5282102,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6017381/, https://pubchem.ncbi.nlm.nih.gov/compound/Astragalin",,,,,,,,,,,,,,,,,,,,
507,kaempferol-3-rutinoside,flower,C27H30O15,594.5 ,,,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC=C(C=C5)O)O)O)O)O)O)O,,,,Adnan (MA),1180. Plumeria rubra,122173234,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6017381/, https://pubchem.ncbi.nlm.nih.gov/compound/Kaempferol-3-rutinoside",,,,,,,,,,,,,,,,,,,,
508,kaempferol,flower,C15H10O6,286.24 ,,,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,,,,Adnan (MA),1180. Plumeria rubra,5280863,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6017381/, https://pubchem.ncbi.nlm.nih.gov/compound/Kaempferol",,,,,,,,,,,,,,,,,,,,
509,quercetin 3-O-α-l-arabinopyranoside,flower,C20H18O11 ,434.3 ,,,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(O4)CO)O)O)O)O,,,,Adnan (MA),1180. Plumeria rubra,10252339 ,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6017381/, https://pubchem.ncbi.nlm.nih.gov/compound/Guaiaverin",,,,,,,,,,,,,,,,,,,,
510,quercetin,flower,C15H10O7,302.23 ,,,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,,,,Adnan (MA),1180. Plumeria rubra,5280343,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6017381/, https://pubchem.ncbi.nlm.nih.gov/compound/Quercetin",,,,,,,,,,,,,,,,,,,,
511,quinic acid,flower,C7H12O6,192.17 ,,,C1C(C(C(CC1(C(=O)O)O)O)O)O,,,,Adnan (MA),1180. Plumeria rubra,37439 ,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6017381/, https://pubchem.ncbi.nlm.nih.gov/compound/37439",,,,,,,,,,,,,,,,,,,,
512,rutin,flower,C27H30O16,610.5 ,,,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O,,,,Adnan (MA),1180. Plumeria rubra,5280805,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6017381/, https://pubchem.ncbi.nlm.nih.gov/compound/Rutin",,,,,,,,,,,,,,,,,,,,
513,Ajmalicine,,C21H24N2O3,352.17869265,C00001678,,CC1C2CN3CCC4=C(C3CC2C(=CO1)C(=O)OC)NC5=CC=CC=C45,,,,Adnan (MA),1185. Rauvolfia serpentina,441975,"http://www.knapsackfamily.com/knapsack_core/information.php?word=C00001678, https://pubchem.ncbi.nlm.nih.gov/compound/Ajmalicine",,,,,,,,,,,,,,,,,,,,
514,(+)-Ajmaline,,C20H26N2O2,326.19942809,C00001679,,CCC1C2CC3C4C5(CC(C2C5O)N3C1O)C6=CC=CC=C6N4C,,,,Adnan (MA),1185. Rauvolfia serpentina,441080,"http://www.knapsackfamily.com/knapsack_core/information.php?word=C00001679, https://pubchem.ncbi.nlm.nih.gov/compound/Ajmaline",,,,,,,,,,,,,,,,,,,,
515,Rescinnamine,,C35H42N2O9,634.28903096,C00001762,,COC1C(CC2CN3CCC4=C(C3CC2C1C(=O)OC)NC5=C4C=CC(=C5)OC)OC(=O)C=CC6=CC(=C(C(=C6)OC)OC)OC,,,,Adnan (MA),1185. Rauvolfia serpentina,5280954 ,"http://www.knapsackfamily.com/knapsack_core/information.php?word=C00001762, https://pubchem.ncbi.nlm.nih.gov/compound/Rescinnamine",,,,,,,,,,,,,,,,,,,,
516,Reserpine,,C33H40N2O9,608.27338089,C00001763,,COC1C(CC2CN3CCC4=C(C3CC2C1C(=O)OC)NC5=C4C=CC(=C5)OC)OC(=O)C6=CC(=C(C(=C6)OC)OC)OC,,,,Adnan (MA),1185. Rauvolfia serpentina,5770,"http://www.knapsackfamily.com/knapsack_core/information.php?word=C00001763, https://pubchem.ncbi.nlm.nih.gov/compound/Reserpine",,,,,,,,,,,,,,,,,,,,
517,Sarpagine,,C19H22N2O2,310.16812796,C00001767,,CC=C1CN2C3CC1C(C2CC4=C3NC5=C4C=C(C=C5)O)CO,,,,Adnan (MA),1185. Rauvolfia serpentina,20055020 ,"http://www.knapsackfamily.com/knapsack_core/information.php?word=C00001767, https://pubchem.ncbi.nlm.nih.gov/compound/Sarpagine",,,,,,,,,,,,,,,,,,,,
518,Serpentine,,C21H21N2O3,349.15521755,C00001769,,CC1C2C[N+]3=C(CC2C(=CO1)C(=O)OC)C4=C(C=C3)C5=CC=CC=C5N4,,,,Adnan (MA),1185. Rauvolfia serpentina,73391 ,"http://www.knapsackfamily.com/knapsack_core/information.php?word=C00001769, https://pubchem.ncbi.nlm.nih.gov/compound/Serpentine",,,,,,,,,,,,,,,,,,,,
519,Yohimbine,,C21H26N2O3,354.19434271,C00001789,,COC(=O)C1C(CCC2C1CC3C4=C(CCN3C2)C5=CC=CC=C5N4)O,,,,Adnan (MA),1185. Rauvolfia serpentina,8969,"http://www.knapsackfamily.com/knapsack_core/information.php?word=C00001789, https://pubchem.ncbi.nlm.nih.gov/compound/Yohimbine",,,,,,,,,,,,,,,,,,,,
520,Papaverine,,C20H21NO4,339.14705817,C00001899,,COC1=C(C=C(C=C1)CC2=NC=CC3=CC(=C(C=C32)OC)OC)OC,,,,Adnan (MA),1185. Rauvolfia serpentina,4680,"http://www.knapsackfamily.com/knapsack_core/information.php?word=C00001899, https://pubchem.ncbi.nlm.nih.gov/compound/Papaverine",,,,,,,,,,,,,,,,,,,,
521,(+)-Perakine,,C21H22N2O3,350.16304258,C00024279,,CC1C(C2CC3N1C4C2C(C5(C4)C3=NC6=CC=CC=C56)OC(=O)C)C=O,,,,Adnan (MA),1185. Rauvolfia serpentina,44592972 ,"http://www.knapsackfamily.com/knapsack_core/information.php?word=C00024279, https://pubchem.ncbi.nlm.nih.gov/compound/Perakine",,,,,,,,,,,,,,,,,,,,
522,(+)-Raucaffrinoline,,C21H24N2O3,352.17869265,C00024282,,CC1C(C2CC3N1C4C2C(C5(C4)C3=NC6=CC=CC=C56)OC(=O)C)CO,,,,Adnan (MA),1185. Rauvolfia serpentina,56927714,"http://www.knapsackfamily.com/knapsack_core/information.php?word=C00024282, https://pubchem.ncbi.nlm.nih.gov/compound/Raucaffrinoline",,,,,,,,,,,,,,,,,,,,
523,Ajmalimine,,C30H36N2O6,520.2573369,C00024288,,CCC1C2CC3C4C5(CC(C2C5OC(=O)C6=CC(=C(C(=C6)OC)OC)OC)N3C1O)C7=CC=CC=C7N4C,,,,Adnan (MA),1185. Rauvolfia serpentina,181240 ,"http://www.knapsackfamily.com/knapsack_core/information.php?word=C00024288, https://pubchem.ncbi.nlm.nih.gov/compound/Ajmalimine",,,,,,,,,,,,,,,,,,,,
524,17-O-Acetylajmaline,,C22H28N2O3,368.20999277,C00024289,,CCC1C2CC3C4C5(CC(C2C5OC(=O)C)N3C1O)C6=CC=CC=C6N4C,,,,Adnan (MA),1185. Rauvolfia serpentina,15942893,"http://www.knapsackfamily.com/knapsack_core/information.php?word=C00024289, https://pubchem.ncbi.nlm.nih.gov/compound/17-O-Acetylajmaline",,,,,,,,,,,,,,,,,,,,
525,(-)-Vinorine,,C21H22N2O2,334.16812796,C00024291,,CC=C1CN2C3CC1C4C2CC5(C4OC(=O)C)C3=NC6=CC=CC=C56,,,,Adnan (MA),1185. Rauvolfia serpentina,5281974 ,"http://www.knapsackfamily.com/knapsack_core/information.php?word=C00024291, https://pubchem.ncbi.nlm.nih.gov/compound/Vinorine",,,,,,,,,,,,,,,,,,,,
526,Raucaffricine,,C27H32N2O8,512.21586601,C00024300,,CC=C1C2CC3C4=NC5=CC=CC=C5C46CC(C2C6OC(=O)C)N3C1OC7C(C(C(C(O7)CO)O)O)O,,,,Adnan (MA),1185. Rauvolfia serpentina,5280486 ,"http://www.knapsackfamily.com/knapsack_core/information.php?word=C00024300, https://pubchem.ncbi.nlm.nih.gov/compound/Raucaffricine",,,,,,,,,,,,,,,,,,,,
527,(+)-Sandwicolidine,,C21H28N2O2,340.21507815,C00024305,,,,,,Adnan (MA),1185. Rauvolfia serpentina,,http://www.knapsackfamily.com/knapsack_core/information.php?word=C00024305,,,,,,,,,,,,,,,,,,,,
528,Ajmalinimine,,C24H30N2O4,410.22055746,C00024314,,CCC1C2CC3C4C5(CC(C2C5OC(=O)C)N3C1O)C6=C(N4C)C=CC(=C6)C(=O)C,,,,Adnan (MA),1185. Rauvolfia serpentina,102278633,"http://www.knapsackfamily.com/knapsack_core/information.php?word=C00024314, https://pubchem.ncbi.nlm.nih.gov/compound/102278633",,,,,,,,,,,,,,,,,,,,
529,Vomilenine,,C21H22N2O3,350.16304258,C00024322,,CC=C1C2CC3C4=NC5=CC=CC=C5C46CC(C2C6OC(=O)C)N3C1O,,,,Adnan (MA),1185. Rauvolfia serpentina,11953806 ,"http://www.knapsackfamily.com/knapsack_core/information.php?word=C00024322, https://pubchem.ncbi.nlm.nih.gov/compound/Vomilenine",,,,,,,,,,,,,,,,,,,,
530,(+)-Isoajmaline,,C20H26N2O2,326.19942809,C00024344,,CCC1C2CC3C4C5(CC(C2C5O)N3C1O)C6=CC=CC=C6N4C,,,,Adnan (MA),1185. Rauvolfia serpentina,251572 ,"http://www.knapsackfamily.com/knapsack_core/information.php?word=C00024344, https://pubchem.ncbi.nlm.nih.gov/compound/Isoajmaline",,,,,,,,,,,,,,,,,,,,
531,Rescinnamidine,,C35H44N2O9,636.30468102,C00025205,,COC1C(CC2CN3CCC4=C(C3CC2C1C(=O)OC)NC5=C4C=CC(=C5)OC)OC(=O)CCC6=CC(=C(C(=C6)OC)OC)OC,,,,Adnan (MA),1185. Rauvolfia serpentina,,"http://www.knapsackfamily.com/knapsack_core/information.php?word=C00025205, https://pubchem.ncbi.nlm.nih.gov/compound/184180",,,,,,,,,,,,,,,,,,,,
532,Rescinnaminol,,C32H42N2O6,550.30428709,C00025206,,,,,,Adnan (MA),1185. Rauvolfia serpentina,,http://www.knapsackfamily.com/knapsack_core/information.php?word=C00025206,,,,,,,,,,,,,,,,,,,,
533,Reserpiline,,C23H28N2O5,412.19982202,C00025207,,CC1C2CN3CCC4=C(C3CC2C(=CO1)C(=O)OC)NC5=CC(=C(C=C45)OC)OC,,,,Adnan (MA),1185. Rauvolfia serpentina,67228 ,"http://www.knapsackfamily.com/knapsack_core/information.php?word=C00025207, https://pubchem.ncbi.nlm.nih.gov/compound/Reserpiline",,,,,,,,,,,,,,,,,,,,
